                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
1,1.9768,2.8612,1.3984,0.64422,0.626,0.6341,0.31548,2.0487,2.4933,1.4418,0.0033306,0.0033306,0.0033306
2,1.7727,1.2743,1.2638,0.57139,0.59152,0.60106,0.29833,2.1191,1.575,1.5279,0.0066419,0.0066419,0.0066419
3,1.7856,1.0512,1.283,0.88357,0.57676,0.62125,0.29299,2.0857,1.5092,1.5737,0.0099313,0.0099313,0.0099313
4,1.7548,0.967,1.2802,0.63208,0.67731,0.67178,0.32977,1.9941,1.3437,1.4862,0.009901,0.009901,0.009901
5,1.6707,0.88931,1.2404,0.5915,0.64646,0.65424,0.32239,1.9987,1.3158,1.5396,0.009868,0.009868,0.009868
6,1.6235,0.83342,1.2161,0.68019,0.67462,0.68195,0.35046,1.8554,1.1976,1.4592,0.009835,0.009835,0.009835
7,1.5887,0.811,1.1994,0.65262,0.66128,0.6651,0.33324,1.8495,1.2852,1.4792,0.009802,0.009802,0.009802
8,1.5419,0.77749,1.1833,0.69313,0.68028,0.68785,0.35943,1.8521,1.1663,1.422,0.009769,0.009769,0.009769
9,1.5204,0.75647,1.1717,0.69393,0.66941,0.66939,0.32646,1.9337,1.1565,1.4732,0.009736,0.009736,0.009736
10,1.4993,0.74718,1.1625,0.68732,0.67119,0.67023,0.355,1.91,1.1762,1.4335,0.009703,0.009703,0.009703
11,1.4851,0.73343,1.1583,0.70207,0.69875,0.69251,0.37472,1.8005,1.0693,1.4249,0.00967,0.00967,0.00967
12,1.465,0.71805,1.1488,0.72951,0.69991,0.69218,0.37743,1.7758,1.0642,1.3983,0.009637,0.009637,0.009637
13,1.4523,0.71172,1.1416,0.72217,0.69463,0.69364,0.37479,1.7713,1.0734,1.3746,0.009604,0.009604,0.009604
14,1.4464,0.71129,1.1374,0.68583,0.68646,0.68367,0.37237,1.7571,1.0432,1.3801,0.009571,0.009571,0.009571
15,1.4214,0.69647,1.1293,0.74031,0.7093,0.71165,0.39536,1.7425,1.0161,1.3853,0.009538,0.009538,0.009538
16,1.4209,0.6932,1.1245,0.72878,0.68989,0.69785,0.38092,1.7422,1.0298,1.4679,0.009505,0.009505,0.009505
17,1.4006,0.68146,1.1196,0.74917,0.71768,0.71567,0.39172,1.7109,0.9997,1.3811,0.009472,0.009472,0.009472
18,1.3955,0.67507,1.121,0.74462,0.7137,0.71068,0.39308,1.714,0.96284,1.4255,0.009439,0.009439,0.009439
19,1.3762,0.66696,1.1098,0.76581,0.71607,0.72705,0.40927,1.6703,0.9467,1.3736,0.009406,0.009406,0.009406
20,1.3823,0.66733,1.1116,0.77958,0.72179,0.7249,0.40917,1.6893,0.93465,1.3761,0.009373,0.009373,0.009373
21,1.3694,0.65494,1.1088,0.79745,0.71083,0.72601,0.40433,1.7037,0.91598,1.3835,0.00934,0.00934,0.00934
22,1.3749,0.66303,1.1103,0.79098,0.73223,0.75506,0.42642,1.6609,0.90344,1.3497,0.009307,0.009307,0.009307
23,1.3612,0.65485,1.1053,0.78599,0.73088,0.74582,0.42473,1.656,0.90773,1.3452,0.009274,0.009274,0.009274
24,1.3521,0.649,1.1036,0.78449,0.72964,0.73579,0.41944,1.6449,0.89882,1.3356,0.009241,0.009241,0.009241
25,1.3407,0.64787,1.0956,0.78591,0.73085,0.74216,0.42683,1.6408,0.85745,1.3795,0.009208,0.009208,0.009208
26,1.3404,0.63659,1.0965,0.78888,0.72831,0.74822,0.42568,1.6647,0.87205,1.3897,0.009175,0.009175,0.009175
27,1.3399,0.64073,1.0987,0.82206,0.73111,0.7597,0.43948,1.6297,0.8561,1.3541,0.009142,0.009142,0.009142
28,1.324,0.63383,1.0901,0.81754,0.7332,0.75699,0.43917,1.6111,0.86659,1.3455,0.009109,0.009109,0.009109
29,1.321,0.63418,1.0881,0.81112,0.73964,0.76067,0.44066,1.6323,0.85008,1.3619,0.009076,0.009076,0.009076
30,1.3124,0.62732,1.085,0.83576,0.72709,0.75226,0.44201,1.6246,0.84075,1.3406,0.009043,0.009043,0.009043
31,1.3187,0.63413,1.0844,0.82992,0.7339,0.76249,0.4367,1.616,0.85511,1.3403,0.00901,0.00901,0.00901
