                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 1.0978,                0.47428,                  1.043,                0.81492,                0.75823,                0.78144,                0.43677,                 1.6709,                0.82388,                 1.4057,             0.00047594,             0.00047594,             0.00047594
                      2,                  1.145,                0.50037,                  1.062,                0.81727,                0.73037,                 0.7647,                0.44425,                 1.6563,                0.88584,                 1.3446,               0.000858,               0.000858,               0.000858
                      3,                 1.1617,                0.51118,                 1.0724,                0.84385,                0.74199,                0.78088,                0.44428,                 1.6552,                0.84583,                 1.3431,              0.0011457,              0.0011457,              0.0011457
                      4,                 1.1592,                0.51073,                 1.0673,                0.79731,                0.73618,                  0.751,                0.41864,                 1.7509,                0.90669,                 1.3988,              0.0010046,              0.0010046,              0.0010046
                      5,                 1.1281,                0.49656,                  1.056,                0.82716,                0.73332,                0.76619,                0.45443,                 1.6067,                0.83018,                 1.3194,             0.00086312,             0.00086312,             0.00086312
                      6,                 1.1061,                0.48487,                 1.0455,                0.84309,                0.76564,                0.80164,                0.47531,                 1.5909,                0.81732,                 1.2966,             0.00072164,             0.00072164,             0.00072164
                      7,                 1.0872,                0.47086,                 1.0354,                0.82336,                0.76097,                0.78685,                  0.471,                 1.6007,                0.80509,                 1.3154,             0.00058017,             0.00058017,             0.00058017
                      8,                 1.0595,                0.45966,                 1.0232,                0.82718,                0.75009,                0.78398,                 0.4709,                 1.5658,                0.80523,                 1.3132,              0.0004387,              0.0004387,              0.0004387
                      9,                 1.0357,                0.44914,                 1.0146,                0.83444,                0.77035,                0.80493,                0.48393,                 1.5677,                0.76866,                 1.3331,             0.00029723,             0.00029723,             0.00029723
                     10,                 1.0142,                0.43783,                 1.0047,                0.88733,                0.76021,                0.81227,                0.48631,                 1.5618,                0.76065,                 1.3284,             0.00015576,             0.00015576,             0.00015576
