                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 2.0428,                 2.4227,                 2.0822,                0.90789,                0.84492,                0.89453,                0.55266,                 1.1925,                0.96656,                 1.5768,              0.0004631,              0.0004631,              0.0004631
                      2,                0.88135,                0.70458,                 1.2542,                 0.9895,                0.89728,                0.97833,                0.78009,                0.88477,                0.63855,                 1.2507,             0.00092615,             0.00092615,             0.00092615
                      3,                  0.649,                0.50466,                 1.0592,                0.98005,                 0.9619,                0.98956,                 0.8617,                0.59683,                0.47599,                0.96735,              0.0013757,              0.0013757,              0.0013757
                      4,                0.55475,                 0.4147,                0.99113,                0.99573,                0.97143,                0.98385,                0.84337,                0.61647,                0.44137,                0.94936,              0.0013684,              0.0013684,              0.0013684
                      5,                0.50197,                0.37987,                0.95964,                0.99701,                0.97143,                0.98532,                0.86334,                 0.5632,                0.42229,                0.89416,              0.0013482,              0.0013482,              0.0013482
                      6,                0.47349,                0.35182,                0.94128,                0.99814,                0.97143,                0.99417,                 0.8832,                 0.5299,                0.34247,                0.85878,              0.0013279,              0.0013279,              0.0013279
                      7,                0.44853,                0.33413,                0.92267,                0.98019,                0.99048,                0.99462,                0.87789,                0.53767,                0.34273,                0.84735,              0.0013077,              0.0013077,              0.0013077
                      8,                 0.4294,                0.32922,                0.91453,                0.99994,                0.98095,                0.99319,                0.88219,                0.54558,                0.34713,                0.85982,              0.0012875,              0.0012875,              0.0012875
                      9,                 0.4118,                0.31094,                0.91011,                0.99675,                0.97143,                0.99436,                0.88031,                0.50766,                0.32283,                0.83217,              0.0012673,              0.0012673,              0.0012673
                     10,                0.40439,                0.31054,                0.90307,                0.99849,                0.97143,                0.99227,                 0.8818,                0.50543,                0.31007,                0.83071,              0.0012471,              0.0012471,              0.0012471
                     11,                 0.4048,                0.30052,                0.90155,                0.99821,                0.97143,                0.99401,                0.87886,                0.51793,                0.31077,                0.83104,              0.0012269,              0.0012269,              0.0012269
                     12,                0.40425,                0.29356,                0.90068,                      1,                0.98668,                  0.995,                0.89166,                0.49673,                0.27852,                 0.8165,              0.0012067,              0.0012067,              0.0012067
                     13,                0.39134,                0.29126,                0.89978,                0.99398,                0.97143,                0.99382,                0.88006,                0.51343,                0.29123,                0.82604,              0.0011865,              0.0011865,              0.0011865
                     14,                0.38315,                0.28262,                0.89015,                0.99715,                0.97143,                0.99426,                0.88738,                0.50741,                0.29798,                0.82332,              0.0011663,              0.0011663,              0.0011663
                     15,                0.37337,                0.27151,                0.88314,                0.99792,                0.97143,                0.99435,                0.88407,                0.48427,                0.27942,                0.81551,              0.0011461,              0.0011461,              0.0011461
                     16,                0.37281,                0.27052,                0.88734,                0.99754,                0.97143,                  0.994,                0.87546,                0.53837,                0.29719,                0.83031,              0.0011258,              0.0011258,              0.0011258
                     17,                0.35384,                0.26241,                0.87545,                0.99793,                0.97143,                0.99427,                 0.8884,                0.48996,                0.27961,                0.81592,              0.0011056,              0.0011056,              0.0011056
                     18,                0.36806,                0.27484,                0.88415,                0.99939,                0.98095,                0.99481,                0.90263,                0.48759,                 0.2523,                0.81357,              0.0010854,              0.0010854,              0.0010854
                     19,                0.35074,                0.26028,                 0.8837,                0.99708,                0.97143,                0.99435,                0.89514,                0.49429,                0.26909,                0.82431,              0.0010652,              0.0010652,              0.0010652
                     20,                0.33265,                0.24658,                0.86726,                0.99826,                0.97143,                0.99462,                0.90323,                0.47797,                0.26698,                0.81033,               0.001045,               0.001045,               0.001045
                     21,                0.34477,                0.25778,                 0.8741,                0.99894,                0.97143,                0.99395,                0.89756,                0.49477,                0.27665,                0.82214,              0.0010248,              0.0010248,              0.0010248
                     22,                0.34002,                0.25381,                0.87085,                 0.9978,                0.97143,                0.99426,                0.90068,                0.47108,                 0.2562,                 0.8082,              0.0010046,              0.0010046,              0.0010046
                     23,                0.33176,                0.24835,                0.86518,                0.99774,                0.97143,                0.99309,                0.89368,                0.48788,                 0.2687,                0.81492,             0.00098438,             0.00098438,             0.00098438
                     24,                0.34013,                0.25281,                0.86897,                0.99672,                0.97143,                0.99417,                0.90134,                 0.4841,                0.26098,                0.81556,             0.00096417,             0.00096417,             0.00096417
                     25,                0.33618,                0.24834,                0.87039,                      1,                0.98002,                0.99472,                0.89477,                0.48846,                0.25925,                 0.8195,             0.00094396,             0.00094396,             0.00094396
                     26,                0.33471,                0.24511,                0.85769,                      1,                0.97055,                0.99291,                0.90014,                0.47422,                0.27184,                0.81235,             0.00092375,             0.00092375,             0.00092375
                     27,                0.32079,                0.23445,                0.86204,                      1,                0.97983,                0.99429,                0.90201,                0.49268,                0.24093,                0.81603,             0.00090354,             0.00090354,             0.00090354
                     28,                0.32653,                0.24422,                0.86547,                0.99807,                0.97143,                0.99382,                0.88654,                0.50479,                0.27266,                0.82519,             0.00088333,             0.00088333,             0.00088333
                     29,                0.31832,                0.23274,                0.86108,                 0.9966,                0.97143,                0.99382,                0.90177,                0.47078,                0.25748,                 0.8087,             0.00086312,             0.00086312,             0.00086312
                     30,                0.32748,                0.23427,                0.85807,                0.99886,                0.97143,                0.99444,                0.89851,                0.48396,                0.23883,                 0.8174,             0.00084291,             0.00084291,             0.00084291
                     31,                0.32205,                0.23554,                0.86091,                0.99038,                0.98062,                0.99462,                0.90496,                 0.4747,                0.23438,                0.81036,              0.0008227,              0.0008227,              0.0008227
                     32,                0.31102,                 0.2298,                0.85871,                0.99782,                0.97143,                0.99409,                0.90154,                0.49368,                0.23878,                0.82256,             0.00080249,             0.00080249,             0.00080249
                     33,                0.31289,                0.22705,                0.85319,                0.99824,                0.97143,                0.99408,                 0.8964,                 0.5076,                0.25588,                0.82889,             0.00078228,             0.00078228,             0.00078228
                     34,                0.30686,                0.22702,                0.84454,                0.99749,                0.97143,                0.99391,                0.89949,                0.47917,                0.24577,                0.81226,             0.00076207,             0.00076207,             0.00076207
                     35,                0.31176,                0.22954,                 0.8596,                0.99038,                0.98033,                0.99472,                0.90475,                0.48056,                 0.2399,                 0.8124,             0.00074186,             0.00074186,             0.00074186
                     36,                0.30881,                0.22497,                0.85553,                0.99818,                0.97143,                0.99472,                0.90281,                0.48138,                0.23008,                0.81409,             0.00072164,             0.00072164,             0.00072164
                     37,                0.29972,                0.21965,                0.85724,                0.99028,                0.97143,                0.99417,                0.89561,                0.48443,                0.23774,                0.80721,             0.00070143,             0.00070143,             0.00070143
                     38,                0.29838,                0.21573,                0.85105,                0.98853,                0.97143,                 0.9937,                0.90555,                0.48301,                 0.2366,                0.81639,             0.00068122,             0.00068122,             0.00068122
                     39,                 0.2897,                 0.2122,                0.84938,                0.99038,                0.98017,                0.99397,                 0.9019,                0.48318,                0.23497,                0.81355,             0.00066101,             0.00066101,             0.00066101
                     40,                0.30019,                0.21627,                0.85214,                0.99037,                0.97926,                0.99453,                0.90692,                0.47804,                 0.2315,                0.81475,              0.0006408,              0.0006408,              0.0006408
                     41,                0.29908,                0.21418,                0.84746,                0.99611,                0.97143,                0.99444,                0.90424,                0.48179,                0.23101,                0.81271,             0.00062059,             0.00062059,             0.00062059
                     42,                0.29982,                0.21931,                0.84871,                0.99046,                0.98859,                0.99481,                0.90352,                 0.4761,                0.22278,                 0.8117,             0.00060038,             0.00060038,             0.00060038
                     43,                0.30045,                0.21905,                0.85254,                 0.9936,                0.97143,                0.99399,                0.89747,                0.49096,                 0.2331,                0.81848,             0.00058017,             0.00058017,             0.00058017
                     44,                0.28192,                0.21109,                0.84389,                0.98776,                0.97143,                0.99415,                0.90217,                0.47765,                0.23599,                0.81492,             0.00055996,             0.00055996,             0.00055996
                     45,                0.29232,                0.21025,                0.84557,                0.99036,                0.97878,                0.99424,                0.89877,                0.49199,                0.23062,                0.82326,             0.00053975,             0.00053975,             0.00053975
                     46,                0.29383,                0.20777,                0.84998,                0.97058,                0.99048,                0.99375,                0.89297,                0.51209,                0.23927,                 0.8325,             0.00051954,             0.00051954,             0.00051954
                     47,                0.29476,                0.20715,                0.84587,                0.99001,                0.98095,                0.99377,                0.90572,                0.48363,                0.23223,                0.81589,             0.00049933,             0.00049933,             0.00049933
                     48,                0.28255,                 0.2036,                0.84582,                0.99038,                0.98026,                0.99435,                0.90541,                0.47832,                0.23392,                0.81392,             0.00047912,             0.00047912,             0.00047912
                     49,                0.28206,                0.20472,                0.84374,                0.99038,                0.98076,                0.99472,                0.90551,                0.48019,                0.22974,                 0.8182,             0.00045891,             0.00045891,             0.00045891
                     50,                0.28896,                0.20827,                0.84799,                0.99038,                0.98076,                0.99443,                0.90308,                0.47037,                0.22802,                0.81117,              0.0004387,              0.0004387,              0.0004387
                     51,                 0.2767,                0.20204,                 0.8443,                0.98911,                0.99048,                0.99443,                0.91148,                0.47059,                0.22237,                0.81043,             0.00041849,             0.00041849,             0.00041849
                     52,                0.27185,                0.19726,                0.84729,                0.99038,                0.98016,                0.99443,                0.90486,                0.47904,                0.21894,                0.81696,             0.00039828,             0.00039828,             0.00039828
                     53,                0.26571,                0.19511,                0.83942,                0.99038,                0.98049,                0.99434,                0.90241,                 0.4811,                0.22318,                0.81162,             0.00037807,             0.00037807,             0.00037807
                     54,                0.28638,                0.20193,                0.84631,                0.99038,                0.98082,                0.99424,                0.91104,                0.46748,                0.21148,                 0.8125,             0.00035786,             0.00035786,             0.00035786
                     55,                0.28317,                0.19883,                0.84857,                0.98956,                0.98095,                0.99443,                0.90637,                0.47121,                0.20503,                0.81489,             0.00033765,             0.00033765,             0.00033765
                     56,                0.27625,                0.19494,                0.84764,                0.99038,                0.98002,                0.99462,                 0.9144,                0.45878,                0.21863,                0.80801,             0.00031744,             0.00031744,             0.00031744
                     57,                0.27329,                0.19462,                  0.843,                      1,                0.96798,                0.99435,                0.90693,                0.47171,                0.22368,                0.80936,             0.00029723,             0.00029723,             0.00029723
